tipo;username;password;resultado_esperado
P;standard_user;secret_sauce;Products
P;visual_user;secret_sauce;Products  
N;standard_user;laranja;Epic sadface: Username and password do not match any user in this service
N;admin;secret_sauce;Epic sadface: Username and password do not match any user in this service
N;admin;laranja;Epic sadface: Username and password do not match any user in this service
N;standard_us;_branco;Epic sadface: Password is required
N;_branco;secret_sauce;Epic sadface: Username is required
N;_branco;_branco;Epic sadface: Username is required
N;admin;_branco;Epic sadface: Password is required
N;_branco;laranja;Epic sadface: Username is required
N;locked_out_user;secret_sauce;Epic sadface: Sorry, this user has been locked out.
